red=120991, ir=127511, green=11842, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.997509
red=120953, ir=127497, green=11806, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.008234
red=120947, ir=127522, green=11812, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.019000
red=120982, ir=127556, green=11798, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.029283
red=121015, ir=127633, green=11829, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.040263
red=121029, ir=127711, green=11850, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.050468
red=121069, ir=127809, green=11888, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.061234
red=121110, ir=127860, green=11915, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.071947
red=121137, ir=127956, green=11953, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.082968
red=121191, ir=128034, green=11967, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.093724
red=121225, ir=128084, green=12001, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.104490
red=121239, ir=128156, green=12045, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.114569
red=121301, ir=128220, green=12062, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.125472
red=121305, ir=128276, green=12072, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.135839
red=121318, ir=128359, green=12111, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.146660
red=121379, ir=128409, green=12139, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:5.156896
red=121387, ir=128437, green=12169, HR=78, HRvalid=1, SpO2=99, SO2Valid=1  time:5.177940
